task,scenario,mode,selected_route,selected_length_m,risk_integral,unknown_length_m,abstract_data_gate_permits,unsafe_route_selected,hazardous_route_permitted,hazardous_exposure_m,safe_task_rejected,safe_detour_ratio
cross_slope_rot1_forward,cross_slope,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot1_forward,cross_slope,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot1_reverse,cross_slope,baseline,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot1_reverse,cross_slope,ht_w0,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot1_reverse,cross_slope,ht_w0.5,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot1_reverse,cross_slope,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot1_reverse,cross_slope,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot1_reverse,cross_slope,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot2_forward,cross_slope,baseline,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot2_forward,cross_slope,ht_w0,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot2_forward,cross_slope,ht_w0.5,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot2_forward,cross_slope,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot2_forward,cross_slope,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot2_forward,cross_slope,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot2_reverse,cross_slope,baseline,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot2_reverse,cross_slope,ht_w0,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot2_reverse,cross_slope,ht_w0.5,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot2_reverse,cross_slope,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot2_reverse,cross_slope,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot2_reverse,cross_slope,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
